,1,2,3,4,5
1,81,243,313,339,104
2,92,215,267,293,213
3,137,218,321,261,143
4,111,203,226,300,240
5,102,226,376,259,117
6,104,212,392,246,126
7,110,213,303,286,168
8,65,225,352,289,149
9,99,244,301,270,166
10,86,210,357,263,164
11,87,176,357,311,149
12,165,197,204,286,228
13,93,239,382,270,96
14,100,217,281,303,179
15,83,203,339,288,167
16,94,192,299,247,248
17,124,194,279,282,201
18,100,203,371,226,180
19,65,202,342,280,191
20,124,251,298,240,167
21,102,246,264,271,197
22,102,219,265,279,215
23,80,191,259,290,260
24,106,191,295,261,227
