,1,2,3,4,5,6,7,8,9,10,soma
23,1251.0,1396.0,1207.0,1436.0,1476.0,937.0,983.0,970.0,930.0,1288.0,11874.0
24,1275.0,1293.0,1298.0,1458.0,1479.0,791.0,840.0,871.0,844.0,1296.0,11445.0
4,1202.0,1424.0,1325.0,1458.0,1507.0,763.0,817.0,826.0,843.0,1274.0,11439.0
8,1205.0,1381.0,1254.0,1270.0,1316.0,916.0,933.0,957.0,934.0,1246.0,11412.0
16,1337.0,1344.0,1224.0,1374.0,1408.0,846.0,901.0,860.0,847.0,1269.0,11410.0
15,1297.0,1370.0,1246.0,1330.0,1438.0,861.0,880.0,886.0,870.0,1230.0,11408.0
22,1386.0,1349.0,1203.0,1169.0,1476.0,773.0,912.0,897.0,915.0,1303.0,11383.0
2,1317.0,1343.0,1238.0,1477.0,1472.0,749.0,780.0,829.0,845.0,1260.0,11310.0
11,1255.0,1302.0,1210.0,1290.0,1353.0,904.0,927.0,940.0,920.0,1189.0,11290.0
19,1138.0,1358.0,1199.0,1246.0,1367.0,956.0,987.0,954.0,873.0,1207.0,11285.0
14,1250.0,1356.0,1248.0,1390.0,1442.0,784.0,849.0,822.0,867.0,1255.0,11263.0
18,1277.0,1347.0,1454.0,1129.0,1173.0,854.0,905.0,966.0,945.0,1184.0,11234.0
10,1265.0,1272.0,1232.0,1276.0,1345.0,823.0,860.0,959.0,966.0,1205.0,11203.0
17,1223.0,1366.0,1240.0,1398.0,1444.0,753.0,820.0,793.0,892.0,1252.0,11181.0
21,1326.0,1333.0,1187.0,1289.0,1489.0,735.0,812.0,864.0,858.0,1282.0,11175.0
7,1227.0,1304.0,1267.0,1324.0,1360.0,798.0,831.0,958.0,881.0,1222.0,11172.0
6,1193.0,1256.0,1387.0,1146.0,1163.0,942.0,949.0,990.0,894.0,1230.0,11150.0
12,1231.0,1420.0,1368.0,1408.0,1450.0,674.0,757.0,767.0,765.0,1266.0,11106.0
9,1168.0,1282.0,1261.0,1396.0,1433.0,800.0,857.0,802.0,843.0,1252.0,11094.0
5,1239.0,1236.0,1219.0,1280.0,1338.0,832.0,870.0,891.0,854.0,1230.0,10989.0
1,1158.0,1287.0,1258.0,1310.0,1362.0,833.0,878.0,867.0,807.0,1218.0,10978.0
20,1267.0,1235.0,1214.0,1325.0,1364.0,786.0,836.0,841.0,870.0,1214.0,10952.0
13,1222.0,1229.0,1338.0,1210.0,1247.0,791.0,829.0,921.0,888.0,1184.0,10859.0
3,1142.0,1294.0,1273.0,1365.0,1373.0,722.0,762.0,842.0,832.0,1240.0,10845.0
