,0,1,2,3,4,5,6,7,8,9
0,367,387,371,398,401,255,280,279,255,389
1,434,421,371,476,464,223,239,261,278,393
2,344,401,391,410,410,205,223,257,262,392
3,385,467,405,445,477,234,261,251,277,393
4,382,363,369,373,401,250,256,264,256,389
5,365,352,411,312,319,292,295,321,279,372
6,411,401,380,406,421,225,236,303,272,374
7,376,423,378,377,389,279,280,294,301,375
8,385,398,377,425,441,238,266,237,255,378
9,406,383,367,384,413,246,256,311,319,364
10,422,389,364,391,411,274,289,297,304,358
11,415,465,434,437,446,181,219,233,232,393
12,390,354,409,355,368,228,249,290,287,347
13,414,429,363,424,449,234,257,253,281,380
14,419,416,371,391,438,260,269,274,278,377
15,455,421,382,440,445,247,277,271,263,402
16,375,439,373,419,445,235,264,249,293,390
17,417,413,456,317,332,250,266,307,302,363
18,364,446,352,370,435,306,323,316,281,377
19,416,379,362,384,414,223,243,260,262,372
20,426,406,359,384,470,211,246,280,278,395
21,445,415,356,321,454,231,309,298,292,405
22,406,455,354,445,468,291,304,299,283,394
23,413,404,395,468,468,220,247,263,269,405
